,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP39Z5,39,5,0.00222887,0.0963554,39.5749,0.023131760129686558,1.236405019490345
fuelP40Z5,40,5,0.00191178,0.0963554,23.9084,0.019840922252411387,0.5530433738845981
fuelP41Z5,41,5,0.00172911,0.0963554,19.1127,0.017945128140197646,0.3792135947336631
fuelP42Z5,42,5,0.00164562,0.0963554,13.2418,0.017078648420327247,0.23762579780686918
fuelP43Z5,43,5,0.00163955,0.0963554,7.31962,0.017015652469918655,0.1250092165503957
fuelP44Z5,44,5,0.00159422,0.0963554,11.6126,0.0165452065997339,0.19759596587217737
fuelP45Z5,45,5,0.00152146,0.0963554,15.416,0.015790085454473753,0.2550609049414978
fuelP46Z5,46,5,0.0015218,0.0963554,8.67177,0.015793614057956276,0.13692798934154185
fuelP47Z5,47,5,0.00154581,0.0963554,6.05818,0.016042795733295694,0.09568055681362955
fuelP48Z5,48,5,0.0015889,0.0963554,4.12061,0.016489994333477937,0.06610610452657557
fuelP1Z6,1,6,0.0963916,0.0963916,0.0549433,1.0,0.0009060147056625783
fuelP2Z6,2,6,0.0955159,0.0963916,0.0713535,0.9909151834807183,0.0713535
fuelP3Z6,3,6,0.0946958,0.0963916,0.0789808,0.9824071807086925,0.07826327392345392
fuelP4Z6,4,6,0.0939199,0.0963916,0.0797911,0.9743577241170394,0.07838734959664535
fuelP5Z6,5,6,0.0931765,0.0963916,0.079956,0.9666454338344835,0.077905746189502
fuelP6Z6,6,6,0.0925092,0.0963916,0.0755637,0.9597226314326145,0.07304330556863876
fuelP7Z6,7,6,0.0919425,0.0963916,0.0660527,0.9538434884367518,0.06339227105722905
fuelP8Z6,8,6,0.090951,0.0963916,0.142535,0.9435573224222858,0.13595608162433243
fuelP9Z6,9,6,0.0895541,0.0963916,0.211676,0.9290653957398778,0.19972843978105978
fuelP10Z6,10,6,0.0879954,0.0963916,0.266617,0.912894899555563,0.247704628615979
fuelP11Z6,11,6,0.0864311,0.0963916,0.305886,0.8966663070226036,0.27924176924545296
fuelP12Z6,12,6,0.084802,0.0963916,0.347283,0.8797654567410439,0.31139696510173087
fuelP13Z6,13,6,0.0831501,0.0963916,0.384366,0.8626280713257173,0.3381519295457281
fuelP14Z6,14,6,0.0817309,0.0963916,0.356317,0.8479047966835285,0.3073690464905656
fuelP15Z6,15,6,0.0808011,0.0963916,0.251889,0.8382587279389491,0.2135778913318173
fuelP16Z6,16,6,0.0801776,0.0963916,0.160335,0.8317903219782637,0.1344022131440914
fuelP17Z6,17,6,0.0787861,0.0963916,0.456518,0.8173544167749057,0.379727254208873
fuelP18Z6,18,6,0.0766048,0.0963916,0.787349,0.7947248515430806,0.6435431826933052
fuelP19Z6,19,6,0.073556,0.0963916,1.22016,0.7630955394453459,0.9696914748588051
fuelP20Z6,20,6,0.0706757,0.0963916,1.28967,0.733214304980932,0.9841414243564793
fuelP21Z6,21,6,0.0680635,0.0963916,1.27229,0.7061144332078729,0.9328612280841899
fuelP22Z6,22,6,0.0663528,0.0963916,0.942698,0.6883670361317792,0.6656526639561954
fuelP23Z6,23,6,0.0627575,0.0963916,2.29193,0.6510681428672208,1.5776890611215086
fuelP24Z6,24,6,0.0586465,0.0963916,2.97428,0.6084191983533835,1.9364589559671175
fuelP25Z6,25,6,0.0542973,0.0963916,3.70738,0.563299084152561,2.2556411675913672
